OverallQual,BedroomAbvGr,CentralAir,BsmtQual,BsmtUnfSF,Fireplaces,YrSold,HouseStyle,HeatingQC,GarageType,RoofMatl,PavedDrive,SaleType,FullBath,OpenPorchSF,RoofStyle,Exterior,Utilities,BsmtFinSF1,Heating,LotInfo,KitchenQual,HalfBath,BsmtFinType1,WoodDeckSF,TotRmsAbvGrd,SalePrice,YearBuilt,BsmtCond,Foundation,Electrical,BldgType,OverallCond,GrLivArea
7,3,Y,Gd,216,0,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,91,Gable,VinylSd;TA;Gd,AllPub,700,GasA,Corner;IR1;13450;95,Gd,1,GLQ,146,8,200000,2002,TA,PConc,SBrkr,1Fam,5,1861
8,3,Y,Gd,1284,1,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,87,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9375;NA,Gd,1,Unf,192,7,228500,2002,TA,PConc,SBrkr,1Fam,5,2169
7,3,Y,Gd,257,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,184,Gable,VinylSd;TA;Gd,AllPub,735,GasA,Inside;IR1;10316;NA,Gd,1,GLQ,0,7,235000,2000,TA,PConc,SBrkr,1Fam,5,1865
6,1,Y,Gd,163,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,685,GasA,Inside;Reg;4435;NA,Gd,0,GLQ,140,4,144000,2003,TA,PConc,SBrkr,Twnhs,5,848
7,3,Y,Gd,133,1,2006,2Story,Ex,Detchd,CompShg,Y,WD,2,170,Gable,VinylSd;TA;TA,AllPub,975,GasA,Corner;Reg;9750;75,Gd,1,GLQ,253,8,274300,1998,TA,PConc,SBrkr,1Fam,6,2097
7,3,Y,Gd,125,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;Gd,AllPub,1400,GasA,Inside;Reg;9100;70,Gd,0,GLQ,219,6,235000,2000,TA,PConc,SBrkr,1Fam,5,1525
7,2,Y,Gd,1286,1,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,55,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;6762;64,Gd,0,Unf,168,6,193879,2006,NA,PConc,SBrkr,1Fam,5,1294
7,3,Y,Gd,278,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,45,Gable,VinylSd;TA;Gd,AllPub,666,GasA,Inside;Reg;12420;79,Gd,1,GLQ,0,6,230000,2001,TA,PConc,SBrkr,1Fam,5,1840
6,1,Y,Gd,162,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,686,GasA,Inside;Reg;4435;37,Gd,0,GLQ,140,3,136500,2003,TA,PConc,SBrkr,Twnhs,5,848
6,1,Y,Gd,151,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,697,GasA,Inside;Reg;4426;NA,Gd,0,GLQ,149,3,149300,2004,TA,PConc,SBrkr,Twnhs,5,848
7,3,Y,Gd,1422,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,60,Gable,VinylSd;TA;Gd,AllPub,0,GasA,FR2;Reg;8500;63,Gd,0,Unf,192,7,179600,2004,TA,PConc,SBrkr,1Fam,5,1422
7,3,Y,Gd,901,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,84,Gable,VinylSd;TA;Gd,AllPub,252,GasA,Inside;IR1;11404;75,Gd,1,ALQ,192,8,222500,1998,TA,PConc,SBrkr,1Fam,5,2031
7,3,Y,Gd,1413,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,33,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR2;16285;67,Gd,0,Unf,0,6,187100,2001,TA,PConc,SBrkr,1Fam,5,1430
